Date,WAY0O1P
08-Jan-2021,0.06
07-Jan-2021,0.11
06-Jan-2021,0.1
05-Jan-2021,0.12
04-Jan-2021,0.15
01-Jan-2021,0.15
30-Dec-2020,0.16
29-Dec-2020,0.18
28-Dec-2020,0.17
25-Dec-2020,0.16
23-Dec-2020,0.17
22-Dec-2020,0.17
21-Dec-2020,0.16
18-Dec-2020,0.15
17-Dec-2020,0.17
16-Dec-2020,0.18
15-Dec-2020,0.19
14-Dec-2020,0.17
11-Dec-2020,0.17
10-Dec-2020,0.18
09-Dec-2020,0.2
08-Dec-2020,0.23
07-Dec-2020,0.21
04-Dec-2020,0.18
03-Dec-2020,0.18
02-Dec-2020,0.19
01-Dec-2020,0.21
30-Nov-2020,0.18
27-Nov-2020,0.23
26-Nov-2020,0.22
24-Nov-2020,0.22
23-Nov-2020,0.25
20-Nov-2020,0.29
19-Nov-2020,0.29
18-Nov-2020,0.3
17-Nov-2020,0.32
16-Nov-2020,0.31
13-Nov-2020,0.36
12-Nov-2020,0.35
11-Nov-2020,0.36
10-Nov-2020,0.33
09-Nov-2020,0.39
06-Nov-2020,0.45
05-Nov-2020,0.41
04-Nov-2020,0.42
03-Nov-2020,0.44
02-Nov-2020,0.48
30-Oct-2020,0.45
29-Oct-2020,0.41
28-Oct-2020,0.38
27-Oct-2020,0.33
26-Oct-2020,0.34
23-Oct-2020,0.34
22-Oct-2020,0.34
21-Oct-2020,0.35
20-Oct-2020,0.33
19-Oct-2020,0.34
16-Oct-2020,0.32
15-Oct-2020,0.31
14-Oct-2020,0.34
13-Oct-2020,0.36
12-Oct-2020,0.37
09-Oct-2020,0.32
08-Oct-2020,0.31
07-Oct-2020,0.35
06-Oct-2020,0.35
05-Oct-2020,0.37
02-Oct-2020,0.41
01-Oct-2020,0.38
30-Sep-2020,0.36
29-Sep-2020,0.36
28-Sep-2020,0.34
25-Sep-2020,0.35
24-Sep-2020,0.35
23-Sep-2020,0.34
22-Sep-2020,0.35
21-Sep-2020,0.35
18-Sep-2020,0.34
17-Sep-2020,0.37
16-Sep-2020,0.4
15-Sep-2020,0.45
14-Sep-2020,0.47
11-Sep-2020,0.47
10-Sep-2020,0.47
09-Sep-2020,0.45
08-Sep-2020,0.47
04-Sep-2020,0.46
03-Sep-2020,0.42
02-Sep-2020,0.41
01-Sep-2020,0.38
31-Aug-2020,0.36
28-Aug-2020,0.36
27-Aug-2020,0.34
26-Aug-2020,0.33
25-Aug-2020,0.33
24-Aug-2020,0.36
21-Aug-2020,0.34
20-Aug-2020,0.34
19-Aug-2020,0.33
18-Aug-2020,0.33
17-Aug-2020,0.32
14-Aug-2020,0.34
13-Aug-2020,0.33
12-Aug-2020,0.32
11-Aug-2020,0.33
10-Aug-2020,0.34
07-Aug-2020,0.33
06-Aug-2020,0.36
05-Aug-2020,0.34
04-Aug-2020,0.35
03-Aug-2020,0.36
31-Jul-2020,0.34
30-Jul-2020,0.33
29-Jul-2020,0.3
28-Jul-2020,0.32
27-Jul-2020,0.3
24-Jul-2020,0.31
23-Jul-2020,0.33
22-Jul-2020,0.29
21-Jul-2020,0.29